in_count,out_count,in_open,month,year
29,19.0,5301,11,1990
47,18.0,5546,11,1991
96,39.0,5860,11,1992
168,54.0,7181,11,1993
69,93.0,7598,11,1994
49,102.0,7159,11,1995
57,96.0,6672,11,1996
45,107.0,6022,11,1997
21,70.0,5463,11,1998
60,89.0,4989,11,1999
58,81.0,4478,11,2000
53,55.0,4320,11,2001
37,67.0,4231,11,2002
38,41.0,4050,11,2003
26,58.0,3818,11,2004
40,50.0,3612,11,2005
30,31.0,3562,11,2006
57,44.0,3644,11,2007
49,31.0,3798,11,2008
100,19.0,4340,11,2009
162,53.0,5168,11,2010
159,45.0,6389,11,2011
151,58.0,7515,11,2012
161,77.0,8578,11,2013
207,78.0,9955,11,2014
195,108.0,11007,11,2015
182,130.0,12024,11,2016
222,143.0,12815,11,2017
209,188.0,13691,11,2018
219,154.0,14519,11,2019
221,181.0,15239,11,2020
212,137.0,15855,11,2021
